Experiment,Model,Threshold,Accuracy,Precision,Recall,F1-score,AUC
Model-A Original Data,Decision Tree,0.1,0.45738636363636365,0.3996212121212121,0.7644927536231884,0.5248756218905473,0.5124483610998241
Model-B VAE Augmented Data,Decision Tree,0.07,0.4559659090909091,0.4049733570159858,0.8260869565217391,0.5435041716328963,0.5293918461330083
Model-A Original Data,Naive Bayes,0.1,0.5184659090909091,0.40869565217391307,0.5108695652173914,0.45410628019323673,0.5445025734796154
Model-B VAE Augmented Data,Naive Bayes,0.05,0.5184659090909091,0.40869565217391307,0.5108695652173914,0.45410628019323673,0.5150260734118922
Model-A Original Data,Random Forest,0.3799999999999999,0.5,0.43189964157706096,0.8731884057971014,0.5779376498800959,0.6020291548151158
Model-B VAE Augmented Data,Random Forest,0.43000000000000005,0.5241477272727273,0.4331065759637188,0.6920289855072463,0.5327754532775453,0.5876887782744142
Model-A Original Data,SVM,0.3199999999999999,0.4559659090909091,0.40947546531302875,0.8768115942028986,0.558246828143022,0.5899659691182446
Model-B VAE Augmented Data,SVM,0.30000000000000004,0.4460227272727273,0.40371621621621623,0.8659420289855072,0.5506912442396313,0.5739452119734525
