Model,Accuracy Change,Precision Change,Recall Change,F1-score Change,AUC Change
Random Forest,0.024147727272727293,0.0012069343866578652,-0.1811594202898551,-0.04516219660255061,-0.014340376540701527
SVM,-0.009943181818181823,-0.005759249096812524,-0.010869565217391353,-0.007555583903390617,-0.01602075714479212
Decision Tree,-0.0014204545454545303,0.005352144894773703,0.061594202898550776,0.018628549742349065,0.016943485033184214
Naive Bayes,0.0,0.0,0.0,0.0,-0.029476500067723177
